metric,value
earthquake_case_count,"7"
engine_wall_time_minutes,"1.0713334600130717"
engine_wall_time_minutes_measured,"1.0713334600130717"
engine_wall_time_minutes_override_used,"False"
commercial_estimate_hours,"336.0"
speedup_vs_estimate,"18817.670456921995"
drift_envelope_max_pct,"9.200000000000003"
residual_top_displacement_mm_max_abs,"760.1551666098466"
residual_drift_pct_max_abs,"1.9136000000000006"
all_cases_converged,"True"
converged_step_ratio_min,"1.0"
step_tolerance,"0.0001"
energy_balance_relative_error_ref,"8.427671900587738e-05"
equilibrium_residual_ratio_ref,"2.2806365447836243e-13"
selected_story_count,"24"
selected_topology_type,"outrigger"
core_hysteresis_case_id,"opstool_606m_megatall_model-00001"
core_hysteresis_peak_shear_kN,"1.0595611928714884e+125"
drift_p50_max_pct,"9.200000000000003"
drift_p84_max_pct,"9.200000000000003"
drift_p95_max_pct,"9.200000000000003"
drift_split_counts,"{"train": 5, "val": 1, "test": 1}"
system_cumulative_diss_energy_kn_mm,"6.368966301794191e+126"
system_residual_top_disp_mm,"757.7436370690358"
system_residual_drift_pct,"1.9136000000000006"
core_hysteresis_extreme_ratio,"1059561.1928714886"
core_hysteresis_overflow_regime,"True"
core_hysteresis_solver_instability_suspected,"True"
core_hysteresis_regime_label,"overflow / unstable regime"
core_hysteresis_interpretation_note,"High dynamic-range base-shear history pushes the chart into overflow / unstable regime; read the operational detail window together with the magnitude-by-step inset."
core_hysteresis_visual_mode,"operational_detail_plus_magnitude_inset"
core_hysteresis_detail_threshold_kN,"644802.1345468106"
core_hysteresis_detail_point_count,"111"
core_hysteresis_total_point_count,"6001"
hinge_proxy_case_id,"opstool_606m_megatall_model-00001"
hinge_proxy_story_count,"24"
hinge_proxy_peak_story_count,"20"
hinge_proxy_first_exceed_time_s,"0.92"
authority_sac_case_count,"3"
authority_nheri_waveform_corr,"0.9957875947085557"
authority_nheri_sensor_csv,"implementation/phase1/open_data/global_authority/nheri/case_inputs/nheri_case01_sensor.csv"
authority_nheri_baseline_csv,"implementation/phase1/open_data/global_authority/nheri/case_inputs/nheri_case01_baseline.csv"
